index;PV_rooftop_middle;PV_rooftop_north;PV_rooftop_swest;PV_rooftop_east
868;0;0;0;0
869;0;0;0;0
870;0;0;0;0
871;0;0;0;0
872;0,099650411;0,010806391;0,110940379;0,046890355
873;0,298342974;0,062341358;0,291853698;0,173937166
874;0,445850605;0,121364155;0,523023632;0,260498092
875;0,521261053;0,099000111;0,551841316;0,335073
876;0,546435592;0,297290723;0,522958618;0,657885
877;0,493182592;0,333279841;0,300170566;0,182856489
878;0,387476013;0,300433027;0,289580163;0,322539908
879;0,304779277;0,223911817;0,173588503;0,186377554
880;0,090817362;0,096072688;0,075464625;0,091331447
881;8,52E-05;0,000289718;0,000177166;0,000213231
882;0;0;0;0
883;0;0;0;0
884;0;0;0;0
885;0;0;0;0
886;0;0;0;0
887;0;0;0;0
888;0;0;0;0
889;0;0;0;0
890;0;0;0;0
891;0;0;0;0
892;0;0;0;0
893;0;0;0;0
